,region,time,iso,gdp_percapita_mean,gdp_percapita_std
14240,CUB.4_1,1998,CUB,2778.561904151962,1614.0429896928638
14241,CUB.4_1,1999,CUB,3131.1784970195267,2026.6306268045457
14242,CUB.4_1,2000,CUB,3299.742471563122,2112.3409679367433
14243,CUB.4_1,2001,CUB,3148.168091413398,1973.3521692262689
14244,CUB.4_1,2002,CUB,3319.3607861485257,2059.3210442338227
14245,CUB.4_1,2003,CUB,3304.355520778917,2047.4520052056712
14246,CUB.4_1,2004,CUB,3636.219400593596,2270.986131878981
14247,CUB.4_1,2005,CUB,3825.9208931456346,2253.2617179244107
14248,CUB.4_1,2006,CUB,4709.036302128242,2690.343452553498
14249,CUB.4_1,2007,CUB,5233.52201973918,3063.047723601201
14250,CUB.4_1,2008,CUB,5369.967203478246,3158.4198746753273
14251,CUB.4_1,2009,CUB,5524.176485904368,3335.4660779301157
14252,CUB.4_1,2010,CUB,5981.032372380297,3531.9986724158625
14253,CUB.4_1,2011,CUB,6048.711057805308,4052.929552802787
14254,CUB.4_1,2012,CUB,6389.953659230568,3833.166805843126
14255,CUB.4_1,2013,CUB,6503.975569974469,4264.101676307057
14256,CUB.5_1,1992,CUB,2253.963519766184,1336.5880905719819
14257,CUB.5_1,1993,CUB,2218.774641527337,1375.0079449026239
14258,CUB.5_1,1994,CUB,2818.5360827991603,1900.4633307083109
14259,CUB.5_1,1995,CUB,2893.022967728675,1825.0576141248448
14260,CUB.5_1,1996,CUB,2376.3554666886803,1581.8687438616444
14261,CUB.5_1,1997,CUB,2348.0390759465768,1395.7715870863265
14262,CUB.5_1,1998,CUB,2342.1021362762763,1450.0983849504619
14263,CUB.5_1,1999,CUB,2530.9017115303873,1520.5322709376164
14264,CUB.5_1,2000,CUB,2672.892170612764,1752.1427237495081
14265,CUB.5_1,2001,CUB,2774.7896072203944,1682.455075060782
14266,CUB.5_1,2002,CUB,2846.8050268322418,1710.355222548466
14267,CUB.5_1,2003,CUB,2931.204714305491,1915.45637703813
14268,CUB.5_1,2004,CUB,3044.7291240789227,1831.3824494208416
14269,CUB.5_1,2005,CUB,3308.7560439869185,2093.3112752177612
14270,CUB.5_1,2006,CUB,4089.1544240467597,2410.576161167412
14271,CUB.5_1,2007,CUB,4427.151412536694,2699.5051883161086
14272,CUB.5_1,2008,CUB,4439.509670272618,2741.5378787013196
14273,CUB.5_1,2009,CUB,4463.732702679491,2630.6490648209274
